Trace,Signal Power (dBHz),Noise Floor (dBHz),SNR (dB),Edge Frequency Avg (MHz),Label
Trace_001.csv,-99.09862824091763,-116.16098203284074,17.062353791923087,467.58880664062497,Clear
Trace_002.csv,-100.33319915118508,-116.75371158521152,16.42051243402645,467.58880664062497,Clear
Trace_003.csv,-100.20367920088223,-116.63947712600294,16.43579792512071,467.58880664062497,Clear
Trace_004.csv,-100.44464367942771,-116.6781857822276,16.233542102799888,467.58880664062497,Clear
Trace_005.csv,-100.2350208195308,-116.79635546383837,16.561334644307564,467.58880664062497,Clear
Trace_006.csv,-100.21382350282504,-116.38400350807588,16.170180005250856,467.58880664062497,Clear
Trace_007.csv,-100.26239597116924,-116.61687363620416,16.35447766503492,467.58880664062497,Clear
Trace_008.csv,-99.86975300214164,-116.18528959846024,16.315536596318594,467.58880664062497,Clear
Trace_009.csv,-100.2108669393055,-116.68929224866028,16.478425309354776,467.58880664062497,Clear
Trace_010.csv,-100.00041653743308,-116.53531359321572,16.53489705578265,467.58880664062497,Clear
Trace_011.csv,-100.37389183665552,-116.74373996080438,16.36984812414886,467.58880664062497,Clear
Trace_012.csv,-100.32113082590244,-116.68123028775112,16.36009946184869,467.58880664062497,Clear
Trace_013.csv,-100.0094442939526,-116.46305038602648,16.45360609207387,467.58880664062497,Clear
Trace_014.csv,-100.08126892142388,-116.45502961088506,16.37376068946118,467.58880664062497,Clear
Trace_015.csv,-100.31717774191031,-116.69212204326016,16.374944301349842,467.58880664062497,Clear
Trace_016.csv,-100.03289104225809,-116.79775658908969,16.7648655468316,467.58880664062497,Clear
Trace_017.csv,-99.661070648568,-116.16179425650128,16.50072360793328,467.58880664062497,Clear
Trace_018.csv,-99.90575458708015,-116.20187006217344,16.296115475093274,467.58880664062497,Clear
Trace_019.csv,-100.19522283343642,-116.37888119726377,16.183658363827348,467.58880664062497,Clear
Trace_020.csv,-100.66477430974864,-117.29017362433991,16.625399314591263,467.58880664062497,Clear
Trace_021.csv,-100.31648378370848,-116.86732348121622,16.550839697507726,467.58880664062497,Clear
Trace_022.csv,-100.17913221849022,-116.72622930493571,16.54709708644549,467.58880664062497,Clear
Trace_023.csv,-100.17874082051888,-116.24024610450785,16.06150528398898,467.58880664062497,Clear
Trace_024.csv,-100.05604615909245,-116.42595062992136,16.369904470828942,467.58880664062497,Clear
Trace_025.csv,-100.07514168118097,-116.2964428168698,16.221301135688833,467.58880664062497,Clear
Trace_026.csv,-100.17023808496845,-116.2564234306008,16.086185345632344,467.58880664062497,Clear
Trace_027.csv,-100.55280337139008,-116.66429209182242,16.111488720432334,467.58880664062497,Clear
Trace_028.csv,-100.20759650421566,-116.30834207898816,16.10074557477249,467.58880664062497,Clear
Trace_029.csv,-100.22336884353592,-116.3742358591966,16.15086701566068,467.58880664062497,Clear
